id,company_name,license_type,asn,ripe_name,ripe_description
1,Hazara Communication Cable Net (Pvt.) Ltd.,FLL,AS135576,HCCNL-AS-AP,Hazara Communication Cable Net (Pvt) Ltd
2,Union Local Loop (Pvt.) Ltd.,FLL,,,
3,Worldcall Telecom Ltd.,FLL,AS55414,WORLDCALL-AS-AP,Worldcall Telecom Ltd.
4,Naya Tel (Pvt.) Ltd.,FLL,AS136818,NAYATEL-AS-AP,Naya Tel (Pvt.) Limited
5,Wise Communication Systems (Pvt.) Ltd.,FLL,AS64093,WISECOMM-AS-AP,Wise Communication Systems (Pvt) Limited
6,Multinet Pakistan (Pvt.) Ltd.,FLL,AS135523,MULTINET-IE-AS-AP,Multinet Broadband
7,Web Concepts (Pvt.) Ltd.,FLL,AS152444,IWEB-AS-AP,I-WEB
8,Trans World Enterprise Services (Pvt.) Ltd.,FLL,AS138655,TES-PL-AS-AP,Trans World Enterprise Services (Private) Limited
9,Call 2 Phone (Pvt.) Ltd.,FLL,AS141431,CALL2PHONE-AS-AP,Call 2 Phone Private Limited
10,LINKdotNET Telecom Ltd.,FLL,AS133502,LINKDOTNET-AS-AP,Linkdotnet Telecom Limited
11,Brain Telecommunication Ltd.,FLL,AS17911,BRAINPK-AS-AP,Brain Telecommunication Ltd.
12,Vision Telecom (Pvt.) Ltd.,FLL,AS133495,VISIONTEL-PK,Vision telecom Private limited
13,Telenex (Pvt.) Ltd.,FLL,,,
14,CMPak LDI Ltd.,FLL,AS138423,CMPAKLIMITED-AS-ENTCORP,CMPak Limited
15,Wide Band Communications (Pvt.) Ltd.,FLL,AS136610,WIDEBAND-AS-AP,WideBand Communications(Pvt)Ltd
16,Cyber Internet Services (Pvt.) Ltd.,FLL,AS58746,CYBERNET-AS-AP,Cyber Internet Services Pakistan
17,Smart Telecom (Pvt.) Ltd.,FLL,AS136225,SMARTTELECOM-AS-AP,Smart Telecom
18,Fast Web & Wireless Communications (Pvt.) Ltd.,FLL,AS139087,FAST1-AS-AP,Fast Web & Wireless Communications (Pvt.) Limited
19,Tufa Telecommunication (Pvt.) Limited,FLL,AS154086,LIBERTY-AS-AP,Liberty Telecommunication Private Limited
20,Optix Pakistan (Pvt.) Ltd.,FLL,AS136384,OPTIX-AS-AP,Optix Pakistan (Pvt.) Limited
21,Crystallite Pakistan (Pvt.) Ltd.,FLL,,,
22,Satcomm (Pvt.) Ltd.,FLL,,,
23,TES Media (Pvt.) Ltd.,FLL,AS140608,SMART-AS-AP,SMART MULTIMEDIA (PRIVATE) LIMITED
24,Cube XS Weatherly (Pvt.) Ltd.,FLL,AS38584,CUBEXS-AS-AP,"CubeXS Pvt Ltd, Internet Service Provider Pakistan"
25,Helium Communication (Pvt.) Ltd.,FLL,AS139219,HCPL-AS-AP,Helium Communication PVT LTD
26,Pace Telecom and Broadcasting (Pvt.) Ltd.,FLL,AS150371,PTABPL-AS-AP,Pace Telecom and Brodcasting Private Limited
27,Infostructure Pakistan (Pvt.) Ltd.,FLL,,,
28,Fiber 2 Home (Pvt.) Ltd.,FLL,AS154638,MFNF-AS-AP,Mascot Fiber net
29,Gemnet Enterprise Solutions (Pvt.) Ltd.,FLL,AS58893,GESNET-AS-AP,Gemnet Enterprise Solutions Pvt Ltd
30,Master Communication (Pvt.) Ltd.,FLL,AS140039,MCPL-AS-AP,Master Communication Pvt. Ltd.
31,The Professional Communications (Pvt.) Ltd.,FLL,AS136174,TPCPL-AS-AP,The Professional Communications Pvt Ltd
32,Gerry's Information Technology (Pvt.) Ltd.,FLL,AS59323,PITB-PUNJAB-PK,Punjab Information Technology Board
33,Fiberlink (Pvt.) Ltd.,FLL,AS55714,APNIC-FIBERLINK-PK,Fiberlink Pvt.Ltd
34,7 Star Telecom (Pvt.) Ltd.,FLL,AS141347,M7STL-AS-AP,7 Star Telecom (Private) Limited
35,KK Networks (Pvt.) Ltd.,FLL,AS154566,PRIMENETWORKS-AS-AP,Prime Networks
36,Multan Cable & Internet Services (Pvt.) Ltd.,FLL,AS135003,MULTAN-AS-AP,Multan Cable & Internet Services (Pvt) Ltd
37,New Millennium Network (Pvt.) Ltd.,FLL,AS141380,NMN-AS-AP,New Millennium Network
38,REDtone Digital Services (Pvt.) Ltd.,FLL,AS134782,RDSL-AS-AP,REDtone Digital Services (Pvt) Ltd
39,Multi City Broadband (Pvt.) Ltd.,FLL,AS150377,MIPL-AS-AP,Multicity Internet Pvt Ltd
40,Logi-Tech Cable (Pvt.) Ltd.,FLL,AS151848,GULFCABLENETWORK-AS-AP,GULF CABLE NETWORK (SMC-PVT.) LIMITED
41,Lahore Express (Pvt.) Ltd.,FLL,AS153194,LDNPL-AS-AP,LAHORE DIGITAL NETWORK (PVT.) LIMITED
42,Cactus Networks Solutions (Pvt.) Ltd.,FLL,AS154566,PRIMENETWORKS-AS-AP,Prime Networks
43,Sardar Media (Pvt.) Ltd.,FLL,AS140608,SMART-AS-AP,SMART MULTIMEDIA (PRIVATE) LIMITED
44,Superior Connections (Pvt.) Ltd.,FLL,AS135661,SCPL-AS-AP,Superior Connections private limited
45,Faisal Cable Networks (Pvt.) Ltd.,FLL,AS141377,FCN-AS-AP,Faisal Cable Network (Pvt.) Limited
46,M.Z.Y Multimedia (Pvt.) Ltd.,FLL,AS140608,SMART-AS-AP,SMART MULTIMEDIA (PRIVATE) LIMITED
47,Bliss Communication Network (Pvt.) Ltd.,FLL,AS141361,BCNL-AS-AP,Bliss Communication Network (Pvt) Ltd
48,Fariya Networks (Pvt.) Ltd.,FLL,AS149495,FARIYA-AS-AP,Fariya Networks
49,Ashiq Cable Network (Pvt.) Ltd.,FLL,AS139302,ACNNETWORK-AS-AP,Ashiq Cable Network (Pvt.) Limited
50,Waylink (Pvt.) Ltd.,FLL,AS137561,WAYLINK-AS-AP,WAYLINK
51,Nasstec Airnet Networks (Pvt.) Ltd.,FLL,AS142647,NAN-AS-AP,Nasstec Airnet Networks Private Limited
52,Big Data Technologies (Pvt.) Ltd.,FLL,AS141234,BDTPL-AS-AP,Big Data Technologies Pvt Ltd
53,Fiber Connect (Pvt.) Ltd.,FLL,AS140721,FIBER-AS-AP,Fiber Connect (Private) Limited
54,Air Max (Pvt.) Ltd.,FLL,AS135567,APL-AS-AP,AirMax Private Limited
55,Celmore Technologies (Pvt.) Ltd.,FLL,AS152608,INARA-AS-AP,Inara Technologies Private Limited
56,Lahore Internet Solutions (Pvt.) Ltd.,FLL,AS154446,EDSL-AS-AP,Extended Digital Solutions (SMC-Private) Limited
57,Link2 Net Solutions (Pvt.) Ltd.,FLL,AS154437,OPTINETSOLUTIONS-AS-PK,OPTINET SOLUTIONS PRIVATE LIMITED
58,Alpines Internet (Pvt.) Ltd.,FLL,AS151648,AIPL-AS-AP,ALPINES INTERNET (PRIVATE) LIMITED
59,Smart Net (Pvt.) Ltd.,FLL,AS153321,SMART3-AS-AP,Smart Net (Private) Limited
60,The Wah Telecom (Pvt.) Ltd.,FLL,AS152684,THEWAHTELECOM-AS-AP,The Wah Telecom
61,Xtream Fiber (Pvt.) Ltd.,FLL,AS149283,XTREAMFIBER-AS-AP,Xtream Fiber Private Limited
62,Sign In (Pvt.) Ltd.,FLL,AS140607,SIGNINN-AS-AP,Sign In (PVT) LTD
63,Connect Communications (Pvt.) Ltd.,FLL,AS132165,CONNECT-AS-AP,Connect Communications
64,In Cable (Pvt.) Ltd.,FLL,AS151848,GULFCABLENETWORK-AS-AP,GULF CABLE NETWORK (SMC-PVT.) LIMITED
65,Y Linx (Pvt.) Ltd.,FLL,AS153465,PLL-AS-AP,PLAY LINX (PRIVATE) LIMITED
66,Origin Net (Pvt.) Ltd.,FLL,AS133551,ORIGINNET-AS-AP,OriginNet
67,Badar Enterprises Cable Network (Pvt.) Ltd.,FLL,AS150387,BECNL-AS-AP,BADAR ENTERPRISES CABLE NETWORK (PRIVATE) LIMITED
68,Dream Internet Services (Pvt.) Ltd.,FLL,AS141778,DISPL-AS-AP,Dream Internet Services Pvt Ltd
69,I-Web (Pvt.) Ltd.,FLL,AS152444,IWEB-AS-AP,I-WEB
70,Upnet (Pvt.) Ltd.,FLL,AS149788,UPNET-AS-AP,UPNET (PRIVATE) LIMITED
71,Future Telecom (Pvt.) Ltd.,FLL,AS150147,FUTURETELECOM-AS-AP,FUTURE TELECOM (PRIVATE) LIMITED
72,Khan Telecommunications (Pvt.) Ltd.,FLL,AS154549,KCL-AS-AP,KHAN CLOUD (PRIVATE) LIMITED
73,Fiber Beam (Pvt.) Ltd.,FLL,AS141711,FIBERBEAMPVTLTD-AS-AP,Fiber Beam Pvt Limited
74,McSol (Pvt.) Ltd.,FLL,AS142120,MCSOL-AS-AP,McSOL Pvt Ltd
75,Broadband Vision (Pvt.) Ltd.,FLL,AS150382,BVPL-AS-AP,BROADBAND VISION (PRIVATE) LIMITED
76,Teznet (Pvt.) Ltd.,FLL,,,
77,Logon Broadband (Pvt.) Ltd.,FLL,AS131275,LBPL-AS-AP,Logon Broadband Pvt. Limited
